old_hash_id,author_name,content,source_url,source_name,title,image_url,created_at,score,category_names,impressive_score
ola-electric-shares-end-20--higher-on-market-debut-1723207042644,Mansi Agarwal,"Shares of Ola Electric Mobility ended at ₹91.2 on the National Stock Exchange on Friday, 20% higher than the issue price of ₹76 per share. The total market capitalisation of the electric two-wheeler maker is currently ₹40,226.7 crore. Founder Bhavish Aggarwal's net worth doubled to $2.6 billion following the company's stock market debut, as per Bloomberg.",https://www.ndtvprofit.com/markets/ola-electric-mobility-shares-debut-on-exchanges-list-unchanged-at-rs-76?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,NDTV Profit,Ola Electric shares end 20% higher on market debut,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723204666517_499.jpg?,09-08-2024 12:37,600,"FINANCE,startup",11
markets-plunge-as-rupee-hits-record-low--volatility-persists-1723182840036,System User,"The BSE Sensex dropped 582 points, closing at 78,886, while the NSE Nifty50 fell by 180 points to 24,117. Market volatility continues as global cues weigh heavily. The rupee fell to a record low of 83.96 against the dollar, causing concern among market segments. Meanwhile, India's forex reserves reached $675 billion. Consumer product sales slowed sharply due to macroeconomic headwinds.",https://www.thecore.in/podcasts/markets-fail-to-hold-gains-once-again-628428?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,The Core,"Markets plunge as rupee hits record low, volatility persists",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723182786969_217.jpg?,09-08-2024 05:54,800,"business,FINANCE",13
ola-electric-shares-list-with-no-premium--rise-17-50--in-early-trade-1723181167649,Ashley Paul,"Shares of Ola Electric listed on BSE on Friday with no premium. Ola Electric had offered shares in its ₹6,154-crore IPO, which was open between August 2 and August 6, at a price band of ₹72-76, with shares listing on Friday at ₹75.99. The shares, however, rose nearly 17.50% in early trade to hit a high of ₹89.25.",https://www.moneycontrol.com/news/business/ipo/ola-electric-ipo-listing-stock-market-debut-rs-76-per-share-12791549.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Moneycontrol,"Ola Electric shares list with no premium, rise 17.50% in early trade",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723180503867_754.jpg?,09-08-2024 05:26,800,"FINANCE,startup",13
wazirx-to-undo-all-trades-made-from-july-18-21-after--1-965-cr-hack-1723180855213,Ashley Paul,"WazirX has announced that it'll undo all trades that its users made from July 18-21 after a ₹1,965-crore security breach. All user portfolios will be restored to their status as on 1:00 pm on July 18, when WazirX halted withdrawals. Any fees or referral earnings will also be reversed while deposited funds will be accounted for in a future update.",https://www.businesstoday.in/amp/technology/news/story/wazirx-to-reverse-all-trades-between-july-18-21-after-230-million-security-breach-440804-2024-08-09?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Business Today,"WazirX to undo all trades made from July 18-21 after ₹1,965-cr hack",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723179196234_978.jpg?,09-08-2024 05:20,600,"FINANCE,startup,technology",11
sensex-opens-1-100-points-higher-day-after-closing-580-points-lower-1723176846310,Ashley Paul,"Sensex opened about 1,100 points higher on Friday, a day after it fell 581.79 points at close on Thursday. Nifty also rose 1.12% higher at 24,386.85 after lower-than-expected US jobless data eased concerns about a looming recession in the US. The top Sensex gainers included Tech Mahindra and Tata Motors while ONGC and Eicher Motors were top the Nifty gainers.",https://x.com/CNBCTV18Live/status/1821754425314038002?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,X (formerly Twitter),"Sensex opens 1,100 points higher day after closing 580 points lower",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723176232324_170.jpg?,09-08-2024 04:14,800,"business,FINANCE",13
firstcry-s--4-194-crore-ipo-subscribed-12-22-times-on-last-day-1723138293566,Mansi Agarwal,"FirstCry-parent BrainBees Solutions' ₹4,194-crore IPO was subscribed 12.22 times on the third and the final day of the bidding. The qualified institutional buyers' portion was subscribed 19.3 times, while the retail category was subscribed 2.31 times. The portions reserved for employees and non-institutional investors were subscribed 6.57 times and 4.68 times, respectively.",https://www.moneycontrol.com/news/business/ipo/firstcry-ipo-issue-subscribed-46-on-day-3-so-far-employee-portion-booked-4-73x-12790687.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Moneycontrol,"FirstCry's ₹4,194-crore IPO subscribed 12.22 times on last day",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/8_thu/img_1723137685727_604.jpg?,08-08-2024 17:31,600,"FINANCE,startup",11
not-saying-middle-class-shouldn-t-do-f-o--but-know-the-risks--fm-1723128842673,Mansi Agarwal,"Finance Minister Nirmala Sitharaman, while discussing the tax hike on futures and options (F&O) trading in the Union Budget, said, ""I'm not saying middle class shouldn't go into F&O."" ""But F&O goes with risk,"" she added. She further stated that SEBI is ""very well equipped to take care of"" issues related to F&O trading.",https://www.businesstoday.in/amp/magazine/interview/story/we-have-kept-our-word-on-fiscal-consolidation-440349-2024-08-06?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Business Today,"Not saying middle class shouldn't do F&O, but know the risks: FM",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/8_thu/img_1723128099394_517.jpg?,08-08-2024 14:54,600,"business,FINANCE",11
unicommerce-ipo-booked-168-times--2nd-highest-subscription-in-2024-1723128267059,Mansi Agarwal,"SaaS startup Unicommerce eSolutions' ₹277-crore IPO became the second-most subscribed issue this year, NDTV Profit reported. The IPO was subscribed 168.35 times on Thursday, the last day of the bidding. While the non-institutional investors' portion was subscribed 252.46 times, the qualified institutional buyers' category was subscribed 138.75 times. The issue opened on Tuesday.",https://www.ndtvprofit.com/ipos/unicommerce-esolutions-ipo-subscription-day-3-live-updates?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,NDTV Profit,"Unicommerce IPO booked 168 times, 2nd highest subscription in 2024",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/8_thu/img_1723126277267_306.jpg?,08-08-2024 14:44,600,"business,FINANCE,startup",11
#NAME?,System User,"Former Infosys CFO, Mohandas Pai, expressed his concerns over the regime. Pai, while quoting another account, tagged the Union Labour Minister, Mansukh Mandaviya, and said, ""Minister @mansukhmandviya Please do have a review. They are preventing benefits when people leave."" He concluded his post by saying, ""After 10 years of NDA, this is not acceptable @narendramodi @PMOIndia @AmitShah.""",https://www.freepressjournal.in/business/after-10-years-of-nda-this-is-not-acceptable-infosys-ex-cfo-mohandas-pai-bemoans-epfo-woes?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Free Press Journal,'After 10 years of NDA...': Mohandas Pai bemoans EPFO woes,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/8_thu/img_1723116397505_338.jpg?,08-08-2024 11:28,800,"business,FINANCE",13
exicom-tele-systems-share-witness-buying-interest--stocks-jumps-4--1723100554966,System User,"Shares of Exicom Tele-systems Ltd, India's leading manufacturer of electric vehicle chargers, witnessed renewed buying interest and gained around 4%. This surge was followed by the company's significant announcement. The company's subsidiary, Exicom Power Solutions B.V. Netherlands, along with other step-down subsidiaries, will acquire the business and assets of Tritium Group of Companies. ",https://www.dsij.in/dsijarticledetail/articleid/40664/artmid/10163/preview/true?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Dalal Street Investment Journal,Exicom Tele-systems share witness buying interest; stocks jumps 4%,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/8_thu/img_1723100517908_907.jpg?,08-08-2024 07:02,800,"business,FINANCE",13
why-is--boycottdunkindonuts-trending-on-social-media--1723276568982,Ashley Paul,"Social media platform Rumble's CEO Chris Pavlovski shared screenshots of an email exchange he claims he had with a Dunkin' Donuts executive. The executive said Dunkin' Donuts wasn't comfortable advertising on Rumble due to ""right-wing culture"". ""No, we don't discriminate. All cultures are welcome on Rumble,"" Pavlovski said. After his X post went viral, '#BoycottDunkinDonuts' began trending on X.",https://www.hindustantimes.com/world-news/us-news/boycott-dunkin-donuts-trends-as-maga-influencers-rage-over-rumble-refusal-it-s-time-to-bud-light-101723266039943-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Hindustan Times,Why is #BoycottDunkinDonuts trending on social media?,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723275105773_637.jpg?,10-08-2024 07:56,600,"EXPLAINERS,business,technology",11
who-is-colin-huang--ex-google-staff-who-is-china-s-richest-person--1723276501538,Ashley Paul,"Colin Huang, Founder of PDD Holdings which owns e-commerce platform Temu and retail app Pinduoduo, has become China's richest person, as per Bloomberg. Huang, who's now worth $48.6 billion, was born in 1980 in Hangzhou and had worked at Google in China. His parents were factory workers. Huang has a master's degree from University of Wisconsin-Madison.",https://www.hindustantimes.com/business/meet-chinas-richest-man-10-points-on-e-commerce-tycoon-colin-huang-who-was-once-a-google-employee-101723181558292-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Hindustan Times,"Who is Colin Huang, ex-Google staff who is China's richest person?",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723274478601_176.jpg?,10-08-2024 07:55,600,"EXPLAINERS,world,business",11
cisco-likely-laying-off-over-4-000-employees-soon-1723270652596,System User,"US-based Cisco Systems will reportedly lay off around 4,000 people in its second round of job cuts this year. The Cisco layoffs is initiated as a part of company's cost-cutting strategy and focus on the growth areas like cybersecurity and AI. The first round of layoffs affected around 4,000 Cisco employees in February 2024. ",https://www.latestly.com/technology/cisco-layoffs-us-based-tech-company-to-lay-off-estimated-more-than-4000-employees-amid-its-focus-on-cybersecurity-and-ai-6178620.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Latestly,"Cisco likely laying off over 4,000 employees soon",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723270426511_931.jpg?,10-08-2024 06:17,800,"world,business,technology",12.71
something-big-soon-india--tweets-hindenburg-research-1723266751977,Anmol Sharma,"US-based short seller Hindenburg Research, known for its exposé on Adani Group, hinted at another disclosure involving India. In a recent post on X, Hindenburg wrote, ""Something big soon India."" In January last year, Hindenburg released a report accusing Adani Group of orchestrating ""the largest con in corporate history"".",https://www.moneycontrol.com/news/business/markets/hindenburg-research-teases-something-big-soon-india-12792631.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Moneycontrol,"Something big soon India, tweets Hindenburg Research",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723265937006_138.jpg?,10-08-2024 05:12,800,business,11.46
marico-ceo-gupta--his-wife-buy-apartment-in-worli-for--36-4-crore-1723260400719,Ashley Paul,"Marico MD and CEO Saugata Gupta and his wife and banker Reema Sen have purchased an apartment in Mumbai's Worli for ₹36.4 crore, as per documents accessed by Zapkey. The apartment has a carpet area of 3,872 square feet and features five parking spots. The couple paid a stamp duty of ₹2.18 crore and registration charges worth ₹30,000. ",https://www.hindustantimes.com/real-estate/mumbai-real-estate-saugata-gupta-of-marico-and-family-purchase-rs-36-4-crore-apartment-in-mumbais-worli-101723231224140-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,Hindustan Times,"Marico CEO Gupta, his wife buy apartment in Worli for ₹36.4 crore",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723259391832_387.jpg?,10-08-2024 03:26,600,business,9.46
quick-commerce-is-killing-kiranas--not-e-commerce--delhivery-ceo-1723213885078,System User,"In an interview with ET, Delhivery CEO Sahil Barua discussed the sustainability of 10-15 minute deliveries, which are viable only for groceries and FMCG. He revealed Delhivery's focus on 2-4 hour deliveries through shared dark stores, avoiding instant deliveries. Despite slow revenue growth, it returned to profitability in April-June and aims to expand its PTL business. ",https://startuppedia.in/trending/trending/quick-commerce-is-killing-kiranas-not-e-commerce-delhivery-ceo-6810807?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Startup Pedia,"Quick commerce is killing kiranas, not e-commerce: Delhivery CEO",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723213861030_298.jpg?,09-08-2024 14:31,800,"business,startup",12.5
sensex-jumps-819-points--auto-and-it-stocks-outshine-1723202684187,System User,"Indian equity indices closed in the green on Friday following positive sentiment in the markets. At closing, Sensex closed 819 points or 1.04 per cent higher at 79,705 and Nifty closed 250 points or 1.04 per cent higher at 24,367. Domestic market indices showed resilience when the global market fluctuated.",https://investmentguruindia.com/newsdetail/sensex-jumps-819-points-auto-and-it-stocks-outshine903144?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Investment Guru India,"Sensex jumps 819 points, auto and IT stocks outshine",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723202655507_789.jpg?,09-08-2024 11:24,800,business,11.46
grm-overseas-jumps-10--today--announces-strategic-partnership-1723196671706,System User,"Shares of GRM Overseas jumped over 10% to ₹224.95 per share from its previous closing. The company has a market cap of over ₹1,300 crore. The stock saw a spurt in volume by more than 2 times. GRM Overseas announced a strategic partnership with Solariz Invest in Morocco. This collaboration introduces its flagship basmati rice brand ‘Tanoush’ to Moroccan consumers.",https://www.dsij.in/dsijarticledetail/articleid/40745/artmid/10163/preview/true?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Dalal Street Investment Journal,GRM Overseas jumps 10% today; announces strategic partnership,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723196642141_826.jpg?,09-08-2024 09:44,800,"business,FINANCE",13
hbl-power-systems-net-profit-increases-by-47--yoy-1723192485233,System User,"Shares of HBL Power Systems Ltd opened at ₹617.95 and during the trading session, the shares hit a high of ₹ 622.65, a 3% gain. Despite a 15 % quarterly revenue decline to ₹520.11 crore, net profits increased by 15%. Year over year, revenue rose by 11 % and net profits surged by 47%.",https://tradebrains.in/features/smallcap-stock-jumps-3-after-companys-net-profit-increases-by-47-yoy/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Trade Brains,HBL Power Systems net profit increases by 47% YoY,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723192421821_651.jpg?,09-08-2024 08:34,800,business,11.46
jg-chemicals-reports-307--yoy-increase-in-net-profit-1723187324222,System User,"JG Chemicals shares surged by 16% to ₹344.70 per share due to the company's impressive Q1 FY25 performance. The company reported net profit of ₹16 crore, remarkable 307% increase compared to the same quarter last year, and total revenue of ₹203 crore, marking an 16.3% growth. JG Chemicals Ltd is India’s largest manufacturer of zinc oxide by production and revenue.",https://tradebrains.in/features/chemical-stock-jumps-16-after-reporting-307-yoy-increase-in-net-profit/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Trade Brains,JG Chemicals reports 307% YoY increase in net profit,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723187157522_831.jpg?,09-08-2024 07:08,800,business,11.46
rahul-didn-t-speak-about-hindus-in-b-desh--what-s-the-compulsion--bjp-1723271037484,Dharini Mudgal,"BJP MP Anurag Thakur on Friday criticised Congress MP and the Leader of Opposition in Lok Sabha, Rahul Gandhi, for silence over the attacks on Hindus in violence-hit Bangladesh. Speaking in Parliament, Thakur said, ""What was the compulsion that he (Rahul) could not speak about the security of the Hindus in Bangladesh? You talk about Gaza but not Bangladesh.""",https://www.youtube.com/watch?utm_campaign=fullarticle&v=qM4eBjY5Ids&utm_medium=referral&utm_source=inshorts,The Print,"Rahul didn't speak about Hindus in B'desh, what's the compulsion: BJP",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723267417746_731.jpg?,10-08-2024 06:23,600,"politics,world,national",10.56
people-i-served-for-45-yrs-didn-t-listen--bjp-s-kirodi-on-resigning-1723264455332,Dharini Mudgal,"After quitting the ministerial post, Rajasthan BJP leader Kirodi Lal Meena said he resigned from the state cabinet because party leaders didn't give weightage to him. He said, ""I gave up the ministerial post in this (Rajasthan CM Bhajanlal Sharma's) government because the people I've been serving for 45 years didn't listen to me."" Meena's resignation hasn't been accepted yet.",https://youtu.be/TPFdEFU5H20?t=2500&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,YouTube,People I served for 45 yrs didn't listen: BJP's Kirodi on resigning,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723262607818_617.jpg?,10-08-2024 04:34,600,"politics,national",10.56
sisodia-shares-selfie-with-wife--says--having-1st-morning-tea-of-independence--1723264193535,Shalini ojha,"AAP leader Manish Sisodia, who was granted bail by the Supreme Court on Friday, shared a selfie with his wife on Saturday. ""Azadi ki subah ki pehli chai (First morning tea of 
Independence) after 17 months!...The freedom that Constitution has given to all of us...as a guarantee of the right to live,"" he wrote. He was jailed in February 2023. ",https://x.com/msisodia/status/1822082328736268431?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,X (Formerly Twitter),"Sisodia shares selfie with wife, says 'Having 1st morning tea of Independence'",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723262837041_44.jpg?,10-08-2024 04:29,800,"politics,national",12.56
owaisi-asks-eam-about-indians-in-russia--he-says--don-t-jump-gun--1723261332392,Dharini Mudgal,"AIMIM chief Asaduddin Owaisi questioned EAM S Jaishankar about the release of 69 Indians who've been ""misled"" to join the Russian Army. Jaishankar said, ""We should not jump the gun and say Russians aren't serious on this matter."" He added, ""PM Narendra Modi has got President Vladimir Putin's assurance that any Indian...who's in the service of Russian Army will be...released.""",https://www.youtube.com/watch?utm_campaign=fullarticle&v=4vhPJZcK7nM&utm_medium=referral&utm_source=inshorts,Youtube,"Owaisi asks EAM about Indians in Russia Army, he says 'Don't jump the gun'",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723260283034_760.jpg?,10-08-2024 03:42,600,"politics,world,national",10.56
parliament-achieves-productive-session--kiren-rijiju-1723212887037,System User,"Union Minister Kiren Rijiju praised the Parliament session for its productive business transactions. Speaking to reporters, he said, ""Neither the Budget session nor the entire Parliament session was washed out even for a single day and we saw...On behalf of all members of the Lok Sabha and Rajya Sabha, I want to thank Chairmen of both Houses for their help.""",https://www.thehawk.in/posts/%22parliament-saw-good-business-transactions-in-both-houses%22:-union-minister-kiren-rijiju?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,The Hawk,Parliament achieves productive session: Kiren Rijiju,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723212840925_153.jpg?,09-08-2024 14:14,800,"politics,national",12.56
iranian-hackers-target-us-officials-ahead-of-election--microsoft-1723183067548,System User,"Iranian hackers, linked to the government, targeted a high-ranking US presidential campaign official in June, following a county-level breach. Microsoft reports these attacks are part of broader efforts to influence the US election. Iran denies involvement, claiming its cyber activities are defensive and proportionate.",https://www.thehawk.in/posts/microsoft-researchers-report-iran-hackers-targeting-us-officials-before-election?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,The Hawk,Iranian hackers target US officials ahead of election: Microsoft,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723183026614_156.jpg?,09-08-2024 05:57,800,"politics,hatke,world",13.7
india-s-aircraft-repairs-industry-needs-to-catch-up-1723182999025,System User,"At a recent Budget announcement, FM Nirmala Sitharaman eased regulations for the aviation MRO industry, aiming to turn India into a key hub and promote the transportation sector. Airlines in India have been expanding their aircraft fleet rapidly to meet growing demand in the country. However, the aviation MRO industry in the country has not been able to keep up.",https://www.thecore.in/business/indian-carriers-fleets-are-rapidly-growing-but-mro-facilities-arent-catching-up-627843?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,The Core,India’s aircraft repairs industry needs to catch up,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723182969090_440.jpg?,09-08-2024 05:56,800,"automobile,politics,business,national,travel",12.58
